Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Maldives,0.25659545045347104,-1.2357793580006646,1.9098631548541403,-0.8641571219860152,0.7068707616332074,2.96606280825697,0.3207694378321348,0.42765157048494884,0.02484377820832002,-0.34729677948983395,-0.8880132286083123
Mali,3.5718100333300775,-0.2517484215912453,-0.8445214796003419,-0.8682195014730116,-0.6374578929001566,0.7664408526182297,0.5248609316557552,-0.3124175479753265,1.1250316493462227,-0.8225205085226341,0.05953733671431431
Malta,-2.7655175772293337,-1.9689183289288523,-0.10367288413444928,0.4085875527162488,0.4593776609878849,-0.6032897959869987,0.10585052811912703,-0.2822784881227864,0.14709619498296203,0.6065866395730326,-0.63847006711046
Marshall Islands,2.2147064030303456,-3.212489805255247,-3.1187541369877785,0.6550293934720717,-1.5134230775160191,-1.247825415411281,1.1412390066893117,3.163949936977739,0.8520476871167058,0.930024396657883,-1.5255532002911385
Mauritania,2.8868637387594327,0.7762910687990027,0.0815588475970382,2.2953379791944792,-1.1100077518864933,-0.06302985179189716,0.3285965446761266,-0.6542823908727385,1.263075967137158,-0.3170238198494758,0.5996282180243578
Mauritius,-0.25517819122716723,-1.0106314891634718,1.3104473668264367,-0.4679384013629064,-0.12207073462647103,0.15859773449501743,-0.45160907346184237,0.28575419658251,-0.7658265031208664,-0.14229882441633743,1.0489506359724152
Mexico,-1.6645259187392893,4.191029408324227,-0.6723864124453598,-1.0548708050301263,-0.7137526353760367,-0.6836412655671474,0.08201116216998688,0.3864666541475298,0.36417347240142806,0.5092216496719093,-0.21374355074239146
Micronesia,2.1288193503743003,-2.4374701226459776,-1.25054581587532,0.14062183823771066,-1.5902909769542342,-0.5972419904813734,0.09645295174617037,1.785402680779558,-0.7089182628079888,0.5250130903332236,-0.6014413926656816
Moldova,-0.1502217177390424,-1.4315939926636578,0.1526346659711135,0.9710359312286901,-0.4099756102032499,0.32756339432059395,-0.10765103438144005,1.908945182009238,-0.9299565930528483,0.4381141320183285,0.3449846215598782
Mongolia,1.4028952935354606,-0.6737625600370765,0.9002580940053053,-0.022605061022828922,0.486097214785117,0.7230256366507062,1.1678162169718898,0.7148113470413359,-0.3978787951648596,-0.43462969790963923,0.7649699273036477
Montenegro,-2.3995359831924254,-1.4795747407312763,2.0746679555121714,1.1952842375343409,-0.5905524403145876,1.1283671188708386,-0.47371512608709904,0.797209519513675,0.7431690646223034,-0.8226526385660268,-0.14938080500710751
Morocco,-0.8390212355343336,1.3517870868923265,1.0313832164312042,-0.3508714791827478,-0.8127985798504405,0.19453131472304475,0.7604578207781961,0.013188368897428943,-0.43025372878190954,0.6656625620229304,0.4945501385519615
Mozambique,3.6620681164832,-0.006644949610278303,-0.8212651864596481,-0.39479167963064526,0.31050427239157724,-1.2724247152754666,-0.6783971056152164,0.5773683088062105,0.4762215430134526,-0.755076772957377,0.9869957082906894
Myanmar,2.7827493762941753,0.7068709854509678,-0.8668005784939303,-0.9173617011393274,-0.09024783390540275,-1.686421680436664,-1.8408671382881348,-0.8143796444540355,-1.2430030242301287,-0.013651119240099865,0.9193938803508037
Namibia,2.38594686000668,-0.3418174492817881,0.07533667556015443,-0.6731250014178045,2.25243695307118,1.5880852562328913,-0.21526993434609623,-0.37231685919535396,0.606642560754033,0.2996062549715325,-1.567811346069218
