Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Population 65+,Population Total,Population Urban,Tourism Inbound,Internet Usage_trend,CO2 Emissions_trend,Life Expectancy Female_trend,Mobile Phone Usage_trend,KMeans_Cluster,GMM_Cluster,GMM_Confidence,GMM_Prob_Cluster_0,GMM_Prob_Cluster_1,GMM_Prob_Cluster_2,GMM_Prob_Cluster_3,Hierarchical_Cluster,Spectral_Cluster,Birch_Cluster,KMeans_Cluster_Label,GMM_Cluster_Label,Hierarchical_Cluster_Label,Spectral_Cluster_Label,Birch_Cluster_Label
Kosovo,-0.2762871019676888,-1.282218453137756,-0.5287215492277049,0.693537358969339,-0.675914665943819,-0.1304606224115983,-0.4330494653453364,-0.6443059457574197,-0.4248184036179325,-0.2806142474615448,0.0352108548108145,-0.0129648063776614,-0.1107598808854875,-0.6543704552392261,0.0028735141966644,0.0617399093427,0.0647337165679719,-0.3165140634125869,-0.3710185176340666,-0.0451715734330515,0,0,0.9999981897122748,0.9999981897122748,1.8102877243786485e-06,6.354198204907224e-16,4.6281169849588476e-32,2,0,0,Developing,Developing,Developed,Developing,Developing
Kuwait,-0.1127002446158235,-1.685876682738215,0.2491284839192235,-0.0563903372467286,0.7859153923789454,-1.5180534606319225,0.584415632911755,-0.995918892009486,-0.7764006681609215,0.517165399025377,-0.903629048891584,0.7172737371312261,-0.9067000912649924,-0.6222364488266917,1.8121270724461769,-0.0994795682413082,1.5713548538684785,1.972248565940824,-1.1213040640322591,0.4205349244634428,0,1,0.9998017461041858,1.3546463286042164e-39,0.9998017461041858,2.2003469795535226e-112,0.00019825389581181293,2,2,0,Developing,Developing,Developed,Developing,Developing
Kyrgyzstan,0.0236221365107233,0.3835824098613213,-0.5780948163430121,-0.7225882421377012,-0.7839703890270747,-0.1578579258375511,-0.6773816198394271,-0.4268964141053786,0.0206980537418903,-0.5581028201526479,1.837062553406687,-0.3552641236474526,-0.4364439989050456,-0.5069131165765801,-0.8369519197185823,-0.3514724783922597,-0.3042689866731059,-0.2053495000099439,-0.6884496440353403,1.1102056845979755,0,0,0.9856385334374398,0.9856385334374398,0.000575886176626661,0.013785580385931789,1.3294204941616034e-83,2,0,0,Developing,Developing,Developed,Developing,Developing
Laos,0.5280149466789607,-0.5481795442242453,-0.6288555264484235,2.8377481020337267,-0.6804290099178979,-1.0764733936489137,-0.7010163641957182,1.1781764245109247,1.2552617307630836,-0.9049635360165276,1.7814053209726248,-0.925762985763771,-0.7303540566300114,-0.4760615639614087,-1.1204578050101872,-0.4873097386392407,-0.9192175317013446,-0.3026556928802322,1.0718383023624571,-0.269163123427683,1,2,0.9999999999997939,1.9118223362726586e-26,2.0596672737963495e-13,0.9999999999997939,0.0,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
Latvia,-1.1760148174029166,-0.3782514319198265,-0.5549996960039312,-0.7262286678474881,0.0390136638174745,0.0065258947181657,0.0503981658344744,0.0374474004107091,-0.7522461614365972,1.0721425444075836,-0.60691036224796,0.6944537826465734,2.054642328190885,-0.6342723787393387,0.5335965314625494,0.0238296751396795,1.6942997945752796,-0.2976126293134831,-0.4864470632337885,0.1506590117574792,0,0,0.9999759110852078,0.9999759110852078,1.0158591966976423e-09,1.1643923371888725e-144,2.408789893384829e-05,2,0,0,Developing,Developing,Developed,Developing,Developing
Lebanon,-0.7193348406289776,-0.5759744770918824,-0.4287294829129903,-0.30029885980244,0.1856390585095042,0.8767931800131424,0.0172882311731836,-0.5557316921214029,-0.7119886502293827,-0.0031256747704417,-0.2884323052504716,-0.5378237595246744,0.1100698381619197,-0.560441872136559,1.327737017005092,1.0290534093394546,0.710404506679521,-0.0933564904364911,1.1295525751623183,-0.5840092589991095,0,0,0.9999631536833465,0.9999631536833465,3.6846259401291496e-05,1.1953156561620162e-31,5.725101028010627e-11,2,0,0,Developing,Developing,Developed,Developing,Developing
Lesotho,0.5484633038479495,-1.1565095522136697,-0.6470602914130436,0.92652460439569,-1.1934016315837113,0.8703467556776222,-0.6408648751808331,0.5514464783288063,1.6900428518009796,-1.0437078223620788,-0.0105058020942761,-0.925762985763771,-0.5730724581717865,-0.6454443663718963,-1.3673509302584197,-1.4854880059076068,-1.472665626189403,-0.388114305872704,-0.3421640072361745,-0.5240580577640234,1,2,0.9999999999999769,1.4507811825381426e-29,2.3752430816263287e-14,0.9999999999999769,0.0,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
Liberia,1.4822716145648165,-0.1870259035220237,-0.6394484132503013,-0.1697635950658013,-1.4583487741551908,1.4924267040551449,-0.6993129591970666,-0.6868676001019991,1.7168811926057892,-1.0437078223620788,0.3603925562102528,-1.1539625306102983,-0.8638051098672943,-0.5808325291983074,-0.3694102140319689,-0.7964433071982784,-1.472665626189403,-0.3711110578966768,2.485840611961089,-0.7189745031086846,1,2,1.0,1.4085097500530555e-38,1.814213787251389e-22,1.0,0.0,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
Libya,-0.0377229349962247,-0.6404081851032233,0.0444190699650858,-0.0345477829880082,0.4885902128100705,-1.2473036385401506,-0.3447917938526997,3.2502771459353164,-0.4758112511470665,-0.8934015121543979,-0.9560493501986244,0.5803540102233099,-0.6032578154516487,-0.4873904239119325,0.922404602719608,-0.5844450936894343,-0.8465250064495763,1.129172202299538,0.0041216295629911,2.7594776930861906,2,1,1.0,9.857673385069025e-26,1.0,1.809460476762328e-47,9.878326593204512e-38,2,0,0,Developing,Developing,Developed,Developing,Developing
Lithuania,-1.1283019840086272,0.0708894151004023,-0.4722351445511279,-0.4131520568058287,0.229002856740604,0.0323115920602384,0.0568923973918336,-0.6127681433264137,-0.8649671928167918,0.8293400433028686,-0.8357434099776638,1.721351734455946,1.611394187081343,-0.5894999670033818,0.4875875763637979,0.2112770252173639,1.3868535022479394,-0.2585630697946792,-0.8615924624349232,1.5749980426486003,0,0,0.9999696853278478,0.9999696853278478,8.53775044041707e-09,3.1197816348167817e-120,3.0306134400963182e-05,2,0,0,Developing,Developing,Developed,Developing,Developing
